naam;samenvatting;thema;onderwerp;eigenaar;data url;data url error;kaart url;laagnaam
Status Oppervlaktewaterlichamen;Hier ziet u hoe kunstmatig de oppervlaktewateren in de provincie Limburg zijn.;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/polact_4e_kaderrichtlijn_water?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/polact_4e_kaderrichtlijn_water?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=polact_oppwaterlich_l&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";polact_oppwaterlich_l
Omgevingsverordening: Stiltegebieden (NL);Hier ziet u de locaties van de stiltegebieden in de provincie Limburg aangegeven.;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/beschermingsgebieden?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/beschermingsgebieden?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=omg_verord_stiltegebieden_v&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";omg_verord_stiltegebieden_v
Utrecht Kwetsbaarheid voor oxidatie van organische stof;De kwetsbaarheid van de bodem voor oxidatie in de provincie Utrecht.;Regionale Kaarten;Kaarten;Provincie Utrecht;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/m01-2_bodem/MapServer/WMSServer"")";Timeout na 5 seconden;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/m01-2_bodem/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=8&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";8
Utrecht Grondwatertrappen bodemkaart Veengebieden;De grondwatertrappenkaart geeft de stand van het grondwater ten opzichte van het maaiveld weer.;Regionale Kaarten;Kaarten;Provincie Utrecht;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/m01-2_bodem/MapServer/WMSServer"")";Timeout na 5 seconden;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/m01-2_bodem/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=13&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";13
Utrecht Grondwaterbeschermingsgebieden;De grenzen van de grondwater-beschermingsgebieden in de Provincie Utrecht.;Regionale Kaarten;Kaarten;Provincie Utrecht;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/w01-2_grondwater/MapServer/WMSServer"")";Timeout na 5 seconden;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/w01-2_grondwater/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=19&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";19
Utrecht Archeologische Monumenten Kaart (AMK) (NL);Archeologische terreinen in Nederland. ;Regionale Kaarten;Kaarten;Provincie Utrecht;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/t01-4_cultuur/MapServer/WMSServer"")";Timeout na 5 seconden;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/t01-4_cultuur/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=1&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";1
Utrecht Bodemkaart Veengebieden;Huidig voorkomen van venige en moerige bodems in de provincie Utrecht.;Regionale Kaarten;Kaarten;Provincie Utrecht;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/m01-2_bodem/MapServer/WMSServer"")";Timeout na 5 seconden;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/m01-2_bodem/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=10&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";10
Overijssel Ecologische HoofdStructuur;De begrenzing van de ecologische hoofdstructuur in Overijssel;Regionale Kaarten;Kaarten;Provincie Overijssel;"=HYPERLINK(""http://gisopenbaar.overijssel.nl/data/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=B4:EHS_ONW_POLYGON&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://gisopenbaar.overijssel.nl/data/wfs?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=B4:EHS_ONW_POLYGON&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";B4:EHS_ONW_POLYGON
Utrecht Actuele Rode Contouren;Met een rode contour wordt de vastgestelde begrenzing van het stedelijk gebied in de Provincie Utrecht getoond.;Regionale Kaarten;Kaarten;Provincie Utrecht;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/r01-4_ro_algemeen/MapServer/WMSServer"")";Timeout na 5 seconden;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/r01-4_ro_algemeen/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=2&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";2
Bestand Veehouderijbedrijven - Bedrijven;Locaties veehouderijbedrijven provincie Gelderland, Utrecht en Overijssel met open data uit gemeentelijke vergunning of melding;Regionale Kaarten;Kaarten;Interprovinciaal Overleg (IPO);"=HYPERLINK(""http://services.inspire-provincies.nl/AgriculturalAndAquacultureFacilities/services/view_AF"")";;"=HYPERLINK(""http://services.inspire-provincies.nl/AgriculturalAndAquacultureFacilities/services/view_AF?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=AF.BestandVeehouderijbedrijven.bedrijf&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";AF.BestandVeehouderijbedrijven.bedrijf
Bodemfunctieklassenkaart;De bodemfunctieklassenkaart;Regionale Kaarten;Kaarten;Gemeente Apeldoorn;"=HYPERLINK("""")";404;"=HYPERLINK(""http://geodata.deventer.nl/ArcGIS/services/Milieuatlas_RegioStedendriehoek/Bodemfunctieklassen/MapServer/WMSserver?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=0&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";0
Aardkundige waarden - Provinciale Ruimtelijke Verordening;Provinciale Ruimtelijke Verordening - Aardkundige waarden Provincie Noord-Holland;Regionale Kaarten;Kaarten;Provincie Noord-Holland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://maps.noord-holland.nl/arcgis/services/pnh_pgr_cat3/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=6&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";6
Leefbaarometer: regio 15 regio buurten ak 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_buurten_ak_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_buurten_ak_2012
Gelderland Stiltegebieden;Hier ziet u de ligging van de stiltegebieden in de provincie Gelderland;Regionale Kaarten;Kaarten;Provincie Gelderland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://geoapp-pi.prvgld.nl/ArcGIS/services/pgr/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Stiltegebieden&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Stiltegebieden
Overijssel Nationale landschappen;Nationale Landschappen hebben unieke cultuurhistorische en natuurlijke elementen, zoals flora en fauna, reliëf, grondgebruik en bebouwing.;Regionale Kaarten;Kaarten;Provincie Overijssel;"=HYPERLINK("""")";503;"=HYPERLINK(""http://gisopenbaar.overijssel.nl/ArcGIS/services/AvO/applas/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Nationaal_landschap&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Nationaal_landschap
Natuurverbindingen - Provinciale Ruimtelijke Verordening;Op de kaart ziet u de routes van de natuurverbindingen, zoals ze door de provincie Noord-Holland zijn vastgesteld;Regionale Kaarten;Kaarten;Provincie Noord-Holland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://maps.noord-holland.nl/arcgis/services/PNH_PGR_cat3/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=4&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";4
Bestand Veehouderijbedrijven - Emissiepunten;Emissiepunten stallen veehouderijbedrijven volgens gemeentelijke vergunningen en meldingen in Gelderland en Utrecht;Regionale Kaarten;Kaarten;Interprovinciaal Overleg (IPO);"=HYPERLINK(""http://services.inspire-provincies.nl/AgriculturalAndAquacultureFacilities/services/view_AF"")";;"=HYPERLINK(""http://services.inspire-provincies.nl/AgriculturalAndAquacultureFacilities/services/view_AF?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=AF.BestandVeehouderijbedrijven.emissiepunt&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";AF.BestandVeehouderijbedrijven.emissiepunt
Leefbaarometer: regio 15 regio postcodegebieden zk 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_postcodegebieden_zk_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_postcodegebieden_zk_2012
Leefbaarometer: regio 15 regio wijken ak 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_wijken_ak_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_wijken_ak_2012
Leefbaarometer: regio 15 regio wijken zk 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_wijken_zk_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_wijken_zk_2012
Leefbaarometer: regio 15 regio buurten zk 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_buurten_zk_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_buurten_zk_2012
Leefbaarometer: regio 15 regio clusters ak 2010-2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_clusters_ak_2010-2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_clusters_ak_2010-2012
Leefbaarometer: regio 15 regio clusters ak 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_clusters_ak_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_clusters_ak_2012
Leefbaarometer: regio 15 regio clusters zk 2010-2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_clusters_zk_2010-2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_clusters_zk_2010-2012
Leefbaarometer: regio 15 regio clusters zk 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_clusters_zk_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_clusters_zk_2012
Leefbaarometer: regio 15 regio gemeenten ak 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_gemeenten_ak_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_gemeenten_ak_2012
Leefbaarometer: regio 15 regio gemeenten zk 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_gemeenten_zk_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_gemeenten_zk_2012
Leefbaarometer: regio 15 regio postcodegebieden ak 2012;;Regionale Kaarten;Kaarten;Binnenlandse Zaken en Koninkrijksrelaties (BZK);"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;"")";Niet gelukt om verbinding met server te maken;"=HYPERLINK(""http://acg-prd:9093/geoserver/leefbaarometer/wms?cql_filter=REGIO%3D15&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=regio_postcodegebieden_ak_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";regio_postcodegebieden_ak_2012
Begrenzingen weidevogelleefgebied - Provinciale Ruimtelijke Verordening;Deze kaartlaag bevat het weidevogelleefgebied in de Provincie Noord-Holland.;Regionale Kaarten;Kaarten;Provincie Noord-Holland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://maps.noord-holland.nl/ArcGIS/services/PNH_atlas_leefomgeving/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=3&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";3
Natuurnetwerk Nederland (NNN) - Provinciale Ruimtelijke Verordening;Het Natuurnetwerk Nederland (NNN) voor de provincie Noord-Holland;Regionale Kaarten;Kaarten;Provincie Noord-Holland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://maps.noord-holland.nl/ags/services/pnh_pgr_cat3/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=5&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";5
Geurhinder industrie geurcontouren;U ziet kaart met berekende 98-percentiel geurcontouren van industriële bedrijven met vergunning van provincie Noord-Brabant.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Geur_industrie_98p_geurcontouren_2015&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Geur_industrie_98p_geurcontouren_2015
Gezondheid GES Luchtkwaliteit fijnstof (pm2,5) 2013;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende fijnstof concentraties (pm2,5) over het jaar 2013 in Noord-Brabant.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Luchtkwaliteit_fijnstof_PM2_5_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Luchtkwaliteit_fijnstof_PM2_5_2013
Gezondheid GES Luchtkwaliteit stikstofdioxide (NO2) 2013;U ziet de gezondheidskaart met GES-scores, gebaseerd op de berekende stikstofdioxide concentraties (NO2) over het jaar 2013 in Noord-Brabant.;Regionale Kaarten;Kaarten;Provincie Noord-Brabant;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=Gezondheidskaart_Luchtkwaliteit_stikstofdioxide_NO2_2013&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";Gezondheidskaart_Luchtkwaliteit_stikstofdioxide_NO2_2013
