naam;samenvatting;thema;onderwerp;eigenaar;data url;data url error;kaart url;laagnaam
Biomassa landbouwgebied - stro;Op de kaart staat de totale hoeveelheid (kton) biomassa uit stro (graanstengels) per gemeente.;Hout Vezels Genetische bronnen;Vezels;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a33_ri_bmlandbwstro&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a33_ri_bmlandbwstro&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a33_ri_bmlandbwstro
Biomassa natuurgebied - riet en heide;Op de kaart staat de potentieel te oogsten hoeveelheid biomassa uit natuurlijke rietvelden en heidevelden.;Hout Vezels Genetische bronnen;Vezels;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a32_ri_brietenheide&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a32_ri_brietenheide&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a32_ri_brietenheide
Biomassa natuurgebied - grasmaaisel;Op de kaart staat de potentiele hoeveelheid grasmaaisel (kton per jaar) die uit natuur beschikbaar kan komen.;Hout Vezels Genetische bronnen;Vezels;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a31_ri_naturmaaisel&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a31_ri_naturmaaisel&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a31_ri_naturmaaisel
Biomassa - bermmaaisel;Op de kaart staat de potentiele hoeveelheid bermmaaisel (kton per jaar) langs wegen buiten de bebouwde kom in een gemeente.;Hout Vezels Genetische bronnen;Vezels;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a30_ri_bermmaaisel&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a30_ri_bermmaaisel&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a30_ri_bermmaaisel
PotentiÃ«le oogst van tak- en tophout buiten het bos;De kaart geeft de oogstbare hoeveelheid tak-, top- en snoeihout weer, die afkomstig is uit diverse soorten landschappelijke beplantingen.;Hout Vezels Genetische bronnen;Hout;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a29_ri_taktopsnoeih&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a29_ri_taktopsnoeih&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a29_ri_taktopsnoeih
PotentiÃ«le houtoogst van stamhout buiten het bos;De kaart geeft de oogstbare hoeveelheid biomassa (ton) buiten het bos weer in de vorm van stamhout voor alle Nederlandse gemeenten.;Hout Vezels Genetische bronnen;Hout;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a28_ri_bmassnietbos&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a28_ri_bmassnietbos&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a28_ri_bmassnietbos
PotentiÃ«le oogst van tak- en tophout van het Nederlandse bos;Op de kaart is de potentiele oogst van tak- en tophout ( Mg per jaar ) van het Nederlandse bos weergegeven op gemeentelijk niveau.;Hout Vezels Genetische bronnen;Hout;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a27_ri_takentophout&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a27_ri_takentophout&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a27_ri_takentophout
PotentiÃ«le houtoogst van stamhout van het Nederlandse bos;Op de kaart is de gemiddelde jaarlijkse potentiele houtoogst (m3 / yr) van het Nederlandse bos weergegeven op gemeentelijk niveau.;Hout Vezels Genetische bronnen;Hout;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a26_ir_boshoutoogst&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a26_ir_boshoutoogst&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a26_ir_boshoutoogst
Gemiddelde staande houtvoorraad van het Nederlandse bos;Op de kaart is de gemiddelde staande houtvoorraad (m3/ha) van het Nederlandse bos weergegeven op gemeentelijk niveau.;Hout Vezels Genetische bronnen;Hout;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a25_ir_sthoutvrrdgm&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a25_ir_sthoutvrrdgm&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a25_ir_sthoutvrrdgm
Staande houtvoorraad van het Nederlandse bos;Op de kaart is de staande houtvoorraad (m3) van het Nederlandse bos weergegeven op gemeentelijk niveau.;Hout Vezels Genetische bronnen;Hout;Alterra, Wageningen UR;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:altr_a24_ir_sthoutvoorrd&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/dank/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:altr_a24_ir_sthoutvoorrd&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:altr_a24_ir_sthoutvoorrd
Potentieel biogas uit GFT in GJ/(ha.jaar);Deze dataset toont het potentieel aan biogas in GJ/(ha.jaar) dat uit groente, fruit en tuinafval (GFT) kan worden geproduceerd. ;Biomassa voor energie;Biomassa_voor_energie;Rijksdienst voor Ondernemend Nederland (RvO);"=HYPERLINK(""http://agentschapnl.kaartenbalie.nl/cgi-bin/mapserv?map=/srv/maps/agentschapnl/RVO_WarmteAtlas.map&amp;"")";;"=HYPERLINK(""http://agentschapnl.kaartenbalie.nl/cgi-bin/mapserv?map=/srv/maps/agentschapnl/RVO_WarmteAtlas.map&amp;?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=BG_GFT_OPP&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";BG_GFT_OPP
Potentieel biogas uit vloeibare mest in GJ/(ha.jaar);Deze kaart is een weergave van het potentieel aan biogas in GJ/(ha.jaar) dat uit vloeibare mest geproduceerd kan worden per gemeente.;Biomassa voor energie;Biomassa_voor_energie;Rijksdienst voor Ondernemend Nederland (RvO);"=HYPERLINK(""http://agentschapnl.kaartenbalie.nl/cgi-bin/mapserv?map=/srv/maps/agentschapnl/RVO_WarmteAtlas.map&amp;version=1.0.0"")";;"=HYPERLINK(""http://agentschapnl.kaartenbalie.nl/cgi-bin/mapserv?map=/srv/maps/agentschapnl/RVO_WarmteAtlas.map&amp;version=1.0.0?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=BG_MSTVL_OPP&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";BG_MSTVL_OPP
Verandering nitraatconcentratie in het grondwater (5-15m diep);Verandering in de gemiddelde nitraatconcentratie in het grondwater op een diepte van 5-15 m voor de periode 2004-2010;Drinkwater;Drinkwater;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:rivm_r15_20120601_pc_no3_5m&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r15_20120601_pc_no3_5m&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r15_20120601_pc_no3_5m
Grondwaterbeschermingsgebieden;Grondwaterbeschermingsgebieden, samengesteld uit provinciale bestanden;Drinkwater;Drinkwater;Interprovinciaal Overleg (IPO);"=HYPERLINK(""http://services.inspire-provincies.nl/AreaManagement/services/view_AM"")";;"=HYPERLINK(""http://services.inspire-provincies.nl/AreaManagement/services/view_AM?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=AM.DrinkingWaterProtectionArea&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";AM.DrinkingWaterProtectionArea
Verzilting oppervlaktewater;Deze kaart behandelt de beschikbaarheid van zoet oppervlaktewater;Drinkwater;Drinkwater;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/ows?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-008b_verzilting_oppervlaktewater&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/ows?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-008b_verzilting_oppervlaktewater&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-008b_verzilting_oppervlaktewater
Kwaliteit van drinkwater in Nederland (2012);kwaliteit van het drinkwater in 2012;Drinkwater;Drinkwater;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK(""http://inspire.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=inspire:drinking_water_2012&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://inspire.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=inspire:drinking_water_2012&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";inspire:drinking_water_2012
Drinkwaterwinningen uit grondwater;De kaart toont de ligging van de drinkwaterwinningen uit grondwater in Nederland en de herkomst van het opgepompte water in de vorm van stroombanen. ;Drinkwater;Drinkwater;Deltares;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-006-Drinkwater&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-006-Drinkwater
Locaties drinkwateronttrekkingen uit oppervlaktewater;De kaart geeft een beeld van de opnamepunten voor drinkwater uit het oppervlaktewater weer. ;Drinkwater;Drinkwater;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-019f_Drinkwateronttrekkingen_uit_oppervlaktewater&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-019f_Drinkwateronttrekkingen_uit_oppervlaktewater&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-019f_Drinkwateronttrekkingen_uit_oppervlaktewater
Verzilting grondwater;Verzilting van het grond- en oppervlaktewater vindt plaats in het kustgebied van Nederland door indringing van zeewater via de grote rivieren en zoute kwel (het omhoog stromen van zout grondwater naar het oppervlak);Drinkwater;Drinkwater;Deltares;"=HYPERLINK("""")";Deze databron is alleen als WMS beschikbaar, gebruik kaart url om gegevens op te halen;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-008a_verzilting_grondwater&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-008a_verzilting_grondwater
Verandering nitraatconcentratie in het grondwater bij natuurgebieden;De trend in de gemiddelde nitraatconcentratie in de bovenste meter van het grondwater in natuurgebieden voor de periode 1989-2014;Drinkwater;Drinkwater;Rijksinstituut voor Volksgezondheid en Milieu (RIVM);"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=dank:rivm_r20_pc_no3_gwnatuur&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://geodata.rivm.nl/geoserver/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=dank:rivm_r20_pc_no3_gwnatuur&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";dank:rivm_r20_pc_no3_gwnatuur
Tekort zoetwater voor beregening in gemiddeld jaar;Voor beregening is bepaald wat de totale hoeveelheid water is die aangevoerd kan worden en wat het uiteindelijke tekort aan zoet water voor dit doeleinde is.;Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-019a_Tekort_water_voor_beregening_gemiddeld_jaar&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-019a_Tekort_water_voor_beregening_gemiddeld_jaar&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-019a_Tekort_water_voor_beregening_gemiddeld_jaar
Tekort zoet oppervlaktewater voor de landbouw - gemiddeld jaar;Binnen het Deltaprogramma zoet water is bepaald wat de totale hoeveelheid water is die aangevoerd kan worden en wat het uiteindelijke tekort aan zoet water voor dit doeleinde is. ;Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-027_Tekort_zoet_water_voor_beregening_Gemiddeld_jaar&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-027_Tekort_zoet_water_voor_beregening_Gemiddeld_jaar&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-027_Tekort_zoet_water_voor_beregening_Gemiddeld_jaar
Gemiddelde afvoer van de Rijn en Maas;Verdeling water over hoofdwatersysteem van Rijn en Maas. ;Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK4h-i_Gemiddelde_Afvoer_rivieren&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK4h-i_Gemiddelde_Afvoer_rivieren&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK4h-i_Gemiddelde_Afvoer_rivieren
Tekort zoet oppervlaktewater voor de landbouw - droog jaar;Binnen het Deltaprogramma zoet water is bepaald wat de totale hoeveelheid water is die aangevoerd kan worden en wat het uiteindelijke tekort aan zoet water voor dit doeleinde is. ;Water_overig;Water_overig;Deltares;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wfs?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetFeature&TYPENAME=DANK:DANK-027_Tekort_zoet_water_voor_beregening_droog_jaar&OUTPUTFORMAT=json&SRSNAME=EPSG:4326"")";;"=HYPERLINK(""http://deltaresdata.openearth.nl/geoserver/DANK/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=DANK:DANK-027_Tekort_zoet_water_voor_beregening_droog_jaar&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";DANK:DANK-027_Tekort_zoet_water_voor_beregening_droog_jaar
